furnishingstatus,area,bedrooms,bathrooms,stories,parking,guestroom,basement,hotwaterheating,airconditioning,mainroad,prefarea,price
unfurnished,3900.0,3.0,1.0,2.0,0.0,no,no,no,no,yes,no,4375000.0
furnished,4500.0,3.0,,3.0,1.0,no,no,yes,no,yes,no,4340000.0
semi-furnished,1905.0,5.0,1.0,2.0,0.0,no,yes,no,no,no,no,4340000.0
semi-furnished,4075.0,3.0,1.0,1.0,2.0,yes,yes,no,no,yes,no,4340000.0
furnished,3500.0,4.0,1.0,2.0,2.0,no,no,no,no,yes,no,4340000.0
semi-furnished,6450.0,4.0,1.0,2.0,0.0,no,no,no,no,yes,no,4340000.0
furnished,4032.0,2.0,1.0,1.0,0.0,no,yes,no,no,yes,no,4319000.0
semi-furnished,4400.0,2.0,1.0,1.0,1.0,no,no,no,no,yes,no,4305000.0
semi-furnished,10360.0,2.0,1.0,1.0,1.0,no,no,no,no,yes,yes,4305000.0
semi-furnished,3400.0,3.0,1.0,2.0,2.0,no,yes,no,no,yes,yes,4277000.0
furnished,6360.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,4270000.0
unfurnished,6360.0,2.0,,2.0,0.0,no,no,no,no,yes,no,4270000.0
furnished,4500.0,2.0,1.0,1.0,2.0,no,no,no,yes,yes,no,4270000.0
unfurnished,2175.0,3.0,1.0,2.0,0.0,yes,yes,no,yes,no,no,4270000.0
furnished,4360.0,4.0,1.0,2.0,0.0,no,no,no,no,yes,no,4270000.0
furnished,7770.0,2.0,1.0,1.0,1.0,no,no,no,no,yes,no,4270000.0
semi-furnished,6650.0,3.0,1.0,2.0,0.0,yes,no,no,no,yes,no,4235000.0
furnished,2787.0,3.0,1.0,1.0,0.0,no,yes,no,no,yes,yes,4235000.0
unfurnished,5500.0,3.0,1.0,2.0,0.0,no,no,no,yes,yes,no,4200000.0
unfurnished,5040.0,3.0,1.0,2.0,0.0,no,yes,no,yes,yes,no,4200000.0
semi-furnished,5850.0,2.0,1.0,1.0,2.0,yes,yes,no,no,yes,no,4200000.0
semi-furnished,2610.0,4.0,3.0,2.0,0.0,no,no,no,no,no,no,4200000.0
unfurnished,2953.0,3.0,1.0,2.0,0.0,no,yes,no,yes,yes,no,4200000.0
semi-furnished,2747.0,4.0,2.0,,0.0,no,no,no,no,no,no,4200000.0
unfurnished,4410.0,2.0,1.0,1.0,1.0,no,no,no,no,no,no,4200000.0
semi-furnished,4000.0,4.0,2.0,2.0,0.0,no,no,no,no,no,no,4200000.0
semi-furnished,2325.0,3.0,1.0,2.0,0.0,no,no,no,no,no,no,4200000.0
semi-furnished,4600.0,3.0,2.0,2.0,1.0,no,no,no,yes,yes,no,4200000.0
unfurnished,3640.0,3.0,,2.0,0.0,no,yes,no,no,yes,no,4200000.0
semi-furnished,5800.0,3.0,1.0,1.0,2.0,no,no,yes,no,yes,no,4200000.0
furnished,7000.0,3.0,1.0,1.0,3.0,no,no,no,no,yes,no,4200000.0
semi-furnished,4079.0,3.0,1.0,3.0,0.0,no,no,no,no,yes,no,4200000.0
semi-furnished,3520.0,3.0,1.0,2.0,0.0,no,no,no,no,yes,yes,4200000.0
unfurnished,2145.0,3.0,1.0,3.0,1.0,no,no,no,no,yes,yes,4200000.0
furnished,4500.0,3.0,1.0,1.0,0.0,no,yes,no,no,yes,no,4200000.0
semi-furnished,8250.0,3.0,1.0,1.0,3.0,no,yes,no,no,yes,no,4193000.0
semi-furnished,3450.0,3.0,1.0,2.0,1.0,no,no,no,no,yes,no,4193000.0
semi-furnished,4840.0,3.0,1.0,2.0,1.0,no,no,no,no,yes,no,4165000.0
semi-furnished,4080.0,3.0,1.0,2.0,2.0,no,no,no,no,yes,no,4165000.0
semi-furnished,4046.0,3.0,1.0,2.0,1.0,no,yes,no,no,yes,no,4165000.0
semi-furnished,4632.0,4.0,1.0,2.0,0.0,no,no,no,yes,yes,no,4130000.0
semi-furnished,5985.0,3.0,1.0,1.0,0.0,no,yes,no,no,yes,no,4130000.0
semi-furnished,6060.0,2.0,1.0,1.0,1.0,no,yes,no,no,yes,no,4123000.0
furnished,3600.0,3.0,1.0,1.0,0.0,no,yes,no,yes,yes,yes,4098500.0
semi-furnished,3680.0,3.0,2.0,2.0,0.0,no,no,no,no,yes,no,4095000.0
semi-furnished,,2.0,1.0,2.0,1.0,no,no,no,no,yes,no,4095000.0
semi-furnished,5600.0,2.0,1.0,1.0,0.0,no,no,no,yes,yes,no,4095000.0
unfurnished,5900.0,4.0,2.0,2.0,1.0,no,yes,no,no,no,no,4060000.0
unfurnished,4992.0,3.0,2.0,2.0,2.0,no,no,no,no,yes,no,4060000.0
semi-furnished,4340.0,3.0,1.0,1.0,0.0,no,no,no,no,yes,no,4060000.0
semi-furnished,3000.0,4.0,1.0,3.0,2.0,no,yes,no,yes,yes,no,4060000.0
furnished,4320.0,3.0,1.0,2.0,2.0,no,no,no,no,yes,yes,4060000.0
semi-furnished,3630.0,3.0,2.0,2.0,2.0,no,no,yes,no,yes,no,4025000.0
furnished,3460.0,3.0,2.0,1.0,1.0,no,yes,no,yes,yes,no,4025000.0
semi-furnished,5400.0,3.0,,1.0,3.0,no,no,no,no,yes,no,4025000.0
semi-furnished,4500.0,3.0,1.0,2.0,0.0,no,yes,no,yes,no,no,4007500.0
,3460.0,4.0,1.0,2.0,0.0,no,no,no,yes,yes,no,4007500.0
unfurnished,4100.0,4.0,1.0,1.0,0.0,no,yes,no,no,no,no,3990000.0
semi-furnished,6480.0,3.0,1.0,2.0,1.0,no,no,no,yes,no,no,3990000.0
semi-furnished,4500.0,3.0,2.0,2.0,0.0,no,yes,no,yes,no,no,3990000.0
furnished,,3.0,1.0,2.0,0.0,no,no,no,no,yes,no,3990000.0
unfurnished,4050.0,2.0,1.0,2.0,0.0,yes,yes,no,no,yes,yes,3990000.0
furnished,7260.0,3.0,2.0,1.0,3.0,yes,yes,no,no,yes,no,3920000.0
semi-furnished,5500.0,4.0,1.0,2.0,0.0,yes,yes,no,no,yes,no,3920000.0
semi-furnished,3000.0,3.0,1.0,2.0,0.0,no,no,no,no,,no,3920000.0
furnished,3290.0,2.0,,1.0,1.0,no,no,yes,no,yes,no,3920000.0
furnished,3816.0,2.0,1.0,1.0,2.0,no,yes,no,yes,yes,no,3920000.0
semi-furnished,8080.0,3.0,1.0,1.0,2.0,no,no,no,yes,yes,no,3920000.0
unfurnished,2145.0,4.0,2.0,1.0,0.0,no,yes,no,no,yes,yes,3920000.0
semi-furnished,3780.0,2.0,1.0,2.0,0.0,yes,yes,no,no,yes,no,3885000.0
furnished,3180.0,4.0,2.0,2.0,0.0,no,no,no,no,yes,no,3885000.0
semi-furnished,5300.0,5.0,2.0,2.0,0.0,no,no,no,no,yes,no,3850000.0
semi-furnished,3180.0,2.0,2.0,1.0,2.0,no,yes,no,no,yes,no,3850000.0
furnished,7152.0,3.0,1.0,2.0,0.0,no,no,no,yes,yes,no,3850000.0
semi-furnished,4080.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,3850000.0
semi-furnished,3850.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,3850000.0
semi-furnished,2015.0,3.0,1.0,2.0,0.0,no,yes,no,no,yes,yes,3850000.0
semi-furnished,2176.0,2.0,1.0,2.0,0.0,yes,no,no,no,yes,yes,3850000.0
unfurnished,3350.0,3.0,1.0,2.0,0.0,no,no,no,no,yes,no,3836000.0
semi-furnished,3150.0,2.0,2.0,1.0,0.0,no,yes,no,no,no,no,3815000.0
semi-furnished,4820.0,3.0,1.0,2.0,0.0,no,no,no,no,yes,no,3780000.0
semi-furnished,3420.0,2.0,1.0,2.0,1.0,no,no,yes,no,yes,no,3780000.0
semi-furnished,3600.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,3780000.0
unfurnished,5830.0,2.0,1.0,1.0,2.0,no,no,no,no,yes,no,3780000.0
furnished,2856.0,3.0,1.0,3.0,0.0,no,no,no,no,yes,yes,3780000.0
furnished,8400.0,2.0,1.0,1.0,1.0,no,no,no,no,yes,no,3780000.0
furnished,8250.0,3.0,1.0,1.0,2.0,no,no,no,no,yes,no,3773000.0
furnished,2520.0,5.0,2.0,1.0,1.0,no,yes,no,yes,no,no,3773000.0
furnished,6930.0,4.0,1.0,2.0,1.0,no,no,no,no,no,no,3773000.0
semi-furnished,3480.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,yes,3745000.0
unfurnished,3600.0,3.0,1.0,1.0,1.0,no,no,no,no,yes,no,3710000.0
semi-furnished,4040.0,2.0,1.0,1.0,0.0,no,,no,no,yes,no,3710000.0
semi-furnished,6020.0,3.0,1.0,1.0,0.0,no,no,no,no,yes,no,3710000.0
furnished,4050.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,3710000.0
semi-furnished,3584.0,2.0,1.0,1.0,0.0,no,no,yes,no,yes,,3710000.0
semi-furnished,3120.0,3.0,1.0,2.0,0.0,no,yes,yes,no,no,no,3703000.0
furnished,5450.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,3703000.0
furnished,3630.0,2.0,1.0,1.0,0.0,no,yes,no,no,yes,no,3675000.0
unfurnished,3630.0,2.0,1.0,1.0,0.0,no,no,no,yes,yes,no,3675000.0
semi-furnished,5640.0,2.0,1.0,1.0,0.0,no,no,no,no,no,no,3675000.0
furnished,3600.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,3675000.0
semi-furnished,4280.0,2.0,1.0,1.0,2.0,no,,no,yes,yes,no,3640000.0
semi-furnished,3570.0,3.0,1.0,2.0,0.0,no,yes,no,no,yes,no,3640000.0
semi-furnished,3180.0,3.0,1.0,2.0,0.0,no,,no,no,no,no,3640000.0
furnished,3000.0,2.0,1.0,2.0,0.0,no,no,no,yes,yes,no,3640000.0
semi-furnished,3520.0,2.0,2.0,1.0,0.0,no,yes,no,no,yes,no,3640000.0
unfurnished,5960.0,3.0,1.0,2.0,0.0,yes,yes,no,no,yes,,3640000.0
semi-furnished,4130.0,3.0,,2.0,2.0,no,no,no,no,yes,no,3640000.0
unfurnished,2850.0,3.0,2.0,2.0,0.0,no,yes,no,no,no,yes,
semi-furnished,2275.0,3.0,1.0,3.0,0.0,no,no,yes,yes,yes,yes,3640000.0
unfurnished,3520.0,3.0,1.0,1.0,2.0,no,no,no,no,yes,yes,3633000.0
semi-furnished,4500.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,3605000.0
semi-furnished,4000.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,yes,3605000.0
furnished,3150.0,3.0,1.0,2.0,0.0,no,yes,no,no,yes,no,3570000.0
furnished,4500.0,4.0,2.0,2.0,2.0,no,yes,no,no,yes,no,3570000.0
furnished,4500.0,2.0,1.0,1.0,0.0,no,no,no,no,no,no,3570000.0
,3640.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,3570000.0
unfurnished,3850.0,3.0,1.0,1.0,2.0,no,no,no,no,yes,no,3535000.0
semi-furnished,4240.0,,1.0,2.0,0.0,no,no,no,yes,yes,no,
unfurnished,3650.0,3.0,1.0,2.0,0.0,no,no,no,no,yes,no,3500000.0
semi-furnished,4600.0,4.0,1.0,2.0,0.0,no,no,no,no,yes,no,3500000.0
unfurnished,2135.0,3.0,2.0,2.0,0.0,no,no,no,no,no,no,3500000.0
semi-furnished,3036.0,3.0,1.0,2.0,,no,yes,no,no,yes,no,3500000.0
semi-furnished,3990.0,3.0,1.0,2.0,0.0,no,no,no,no,yes,no,3500000.0
unfurnished,7424.0,3.0,1.0,,0.0,no,no,no,no,no,no,3500000.0
unfurnished,3480.0,3.0,1.0,1.0,0.0,no,no,no,yes,no,no,3500000.0
unfurnished,3600.0,6.0,1.0,2.0,1.0,no,no,no,no,yes,no,3500000.0
semi-furnished,3640.0,2.0,1.0,1.0,1.0,no,no,no,no,yes,no,3500000.0
furnished,5900.0,2.0,1.0,1.0,1.0,no,no,no,no,yes,no,3500000.0
unfurnished,3120.0,3.0,1.0,2.0,1.0,no,no,no,no,yes,no,3500000.0
semi-furnished,7350.0,2.0,1.0,1.0,1.0,no,no,no,no,yes,no,3500000.0
unfurnished,3512.0,2.0,1.0,1.0,1.0,no,no,no,no,yes,yes,3500000.0
unfurnished,9500.0,3.0,1.0,2.0,3.0,no,no,no,no,yes,yes,3500000.0
unfurnished,5880.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,3500000.0
unfurnished,12944.0,3.0,1.0,1.0,0.0,no,no,no,no,yes,no,3500000.0
unfurnished,4900.0,3.0,1.0,2.0,0.0,no,no,no,no,no,no,3493000.0
unfurnished,3060.0,3.0,1.0,1.0,0.0,no,no,no,no,yes,no,3465000.0
unfurnished,5320.0,2.0,1.0,1.0,1.0,no,no,no,no,yes,yes,3465000.0
furnished,2145.0,3.0,1.0,3.0,0.0,no,no,no,no,yes,yes,3465000.0
unfurnished,4000.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,3430000.0
unfurnished,3185.0,2.0,1.0,1.0,2.0,no,no,no,no,yes,no,3430000.0
unfurnished,3850.0,3.0,1.0,1.0,0.0,no,no,no,no,yes,no,3430000.0
furnished,2145.0,3.0,1.0,3.0,0.0,no,no,no,no,yes,yes,3430000.0
unfurnished,2610.0,3.0,1.0,2.0,0.0,no,yes,no,no,yes,yes,3430000.0
unfurnished,1950.0,3.0,2.0,2.0,0.0,no,yes,no,no,yes,yes,3430000.0
unfurnished,4040.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,3423000.0
,4785.0,3.0,,2.0,1.0,yes,yes,no,yes,yes,no,3395000.0
unfurnished,3450.0,3.0,1.0,1.0,2.0,no,yes,no,no,yes,no,3395000.0
furnished,3640.0,,1.0,1.0,0.0,no,no,no,no,yes,no,3395000.0
unfurnished,,4.0,1.0,2.0,2.0,no,no,no,yes,yes,no,3360000.0
semi-furnished,4960.0,4.0,1.0,3.0,0.0,no,no,no,no,no,no,3360000.0
unfurnished,4120.0,2.0,1.0,2.0,0.0,no,no,no,no,yes,no,3360000.0
unfurnished,4750.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,3360000.0
unfurnished,3720.0,2.0,1.0,1.0,0.0,no,no,no,yes,no,no,3360000.0
unfurnished,3750.0,3.0,1.0,1.0,0.0,no,no,no,no,yes,no,3360000.0
semi-furnished,3100.0,3.0,1.0,2.0,0.0,no,yes,no,no,no,no,3360000.0
furnished,3185.0,2.0,1.0,1.0,2.0,no,yes,no,no,yes,no,3360000.0
furnished,2700.0,3.0,1.0,1.0,0.0,no,no,no,no,no,no,3353000.0
furnished,2145.0,3.0,1.0,2.0,0.0,no,yes,no,no,yes,yes,3332000.0
unfurnished,4040.0,2.0,1.0,1.0,1.0,no,no,no,no,yes,no,3325000.0
unfurnished,4775.0,4.0,1.0,2.0,0.0,no,no,no,no,yes,no,3325000.0
unfurnished,2500.0,2.0,1.0,1.0,0.0,no,no,no,yes,no,no,3290000.0
unfurnished,3180.0,4.0,1.0,2.0,0.0,no,yes,no,yes,yes,no,3290000.0
furnished,6060.0,3.0,1.0,1.0,0.0,yes,yes,no,no,yes,,3290000.0
semi-furnished,3480.0,4.0,1.0,2.0,1.0,no,no,no,no,no,,3290000.0
semi-furnished,3792.0,4.0,1.0,2.0,0.0,no,no,no,no,yes,no,3290000.0
unfurnished,4040.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,3290000.0
furnished,2145.0,3.0,1.0,2.0,0.0,no,yes,no,no,yes,yes,3290000.0
unfurnished,5880.0,3.0,1.0,1.0,1.0,no,no,no,no,yes,no,3290000.0
semi-furnished,4500.0,2.0,1.0,1.0,0.0,no,no,no,no,no,no,3255000.0
unfurnished,3930.0,2.0,1.0,1.0,0.0,no,no,no,no,no,no,3255000.0
unfurnished,3640.0,4.0,1.0,2.0,0.0,no,yes,no,no,yes,no,3234000.0
unfurnished,4370.0,3.0,1.0,2.0,0.0,no,no,no,no,yes,no,3220000.0
unfurnished,2684.0,2.0,,1.0,1.0,no,no,no,yes,yes,no,3220000.0
unfurnished,4320.0,3.0,1.0,1.0,1.0,no,no,no,no,no,no,3220000.0
furnished,3120.0,3.0,1.0,2.0,0.0,no,no,no,no,no,no,3220000.0
furnished,3450.0,1.0,1.0,1.0,0.0,no,no,no,no,yes,no,3150000.0
unfurnished,3986.0,2.0,2.0,1.0,1.0,yes,yes,no,no,no,no,3150000.0
semi-furnished,3500.0,2.0,1.0,1.0,0.0,no,yes,no,no,no,no,3150000.0
,4095.0,2.0,1.0,1.0,2.0,no,no,no,no,yes,no,3150000.0
,1650.0,3.0,1.0,2.0,0.0,no,yes,no,no,no,no,3150000.0
semi-furnished,3450.0,3.0,1.0,2.0,0.0,no,yes,no,no,yes,no,3150000.0
semi-furnished,6750.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,3150000.0
semi-furnished,9000.0,3.0,1.0,2.0,2.0,no,no,no,no,yes,no,3150000.0
unfurnished,3069.0,2.0,1.0,1.0,1.0,no,no,no,no,yes,no,3150000.0
unfurnished,4500.0,3.0,1.0,2.0,0.0,no,no,no,yes,yes,no,3143000.0
unfurnished,5495.0,3.0,1.0,1.0,0.0,no,yes,no,no,yes,no,3129000.0
semi-furnished,2398.0,3.0,1.0,1.0,0.0,no,no,no,no,yes,yes,3118850.0
unfurnished,3000.0,3.0,1.0,1.0,0.0,no,no,no,yes,no,no,3115000.0
unfurnished,3850.0,3.0,1.0,2.0,0.0,,no,no,no,yes,no,3115000.0
unfurnished,3500.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,3115000.0
unfurnished,8100.0,2.0,1.0,1.0,1.0,no,no,no,no,yes,no,3087000.0
unfurnished,4960.0,2.0,1.0,1.0,0.0,no,yes,no,yes,yes,no,3080000.0
semi-furnished,2160.0,3.0,1.0,2.0,0.0,no,yes,no,no,no,no,3080000.0
unfurnished,3090.0,2.0,1.0,1.0,0.0,yes,yes,no,no,yes,no,3080000.0
semi-furnished,4500.0,2.0,1.0,2.0,1.0,no,no,yes,no,yes,no,3080000.0
unfurnished,3800.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,3045000.0
semi-furnished,3090.0,3.0,1.0,2.0,0.0,no,no,no,no,no,no,3010000.0
semi-furnished,3240.0,3.0,1.0,2.0,2.0,no,no,no,no,yes,no,3010000.0
semi-furnished,2835.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,3010000.0
furnished,4600.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,3010000.0
unfurnished,5076.0,3.0,1.0,1.0,0.0,no,no,no,no,no,no,3010000.0
unfurnished,3750.0,3.0,1.0,2.0,0.0,no,no,no,no,yes,no,3010000.0
semi-furnished,3630.0,4.0,1.0,2.0,3.0,no,no,no,no,yes,no,3010000.0
unfurnished,8050.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,3003000.0
unfurnished,4352.0,4.0,1.0,2.0,1.0,no,no,no,no,no,no,2975000.0
semi-furnished,3000.0,2.0,1.0,2.0,0.0,no,no,no,no,yes,no,2961000.0
unfurnished,5850.0,3.0,1.0,2.0,1.0,,yes,no,no,yes,no,2940000.0
unfurnished,4960.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,2940000.0
unfurnished,3600.0,3.0,1.0,2.0,1.0,no,no,no,no,no,no,2940000.0
unfurnished,3660.0,4.0,1.0,2.0,0.0,no,no,no,no,no,no,2940000.0
semi-furnished,3480.0,3.0,1.0,2.0,1.0,no,no,no,no,no,no,2940000.0
furnished,2700.0,2.0,1.0,1.0,0.0,no,no,no,no,no,no,2940000.0
unfurnished,3150.0,3.0,1.0,2.0,0.0,no,no,no,no,no,no,2940000.0
semi-furnished,6615.0,3.0,1.0,2.0,0.0,no,no,no,no,yes,no,2940000.0
unfurnished,3040.0,2.0,1.0,1.0,0.0,no,no,no,no,no,no,2870000.0
unfurnished,3630.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,2870000.0
semi-furnished,6000.0,2.0,1.0,1.0,0.0,no,no,,no,yes,no,2870000.0
,5400.0,4.0,1.0,2.0,0.0,no,no,no,no,yes,no,2870000.0
unfurnished,5200.0,4.0,1.0,3.0,0.0,no,no,no,no,yes,no,2852500.0
semi-furnished,3300.0,3.0,1.0,2.0,1.0,no,no,no,no,no,no,2835000.0
unfurnished,4350.0,3.0,1.0,2.0,1.0,no,no,yes,no,no,no,2835000.0
furnished,2640.0,2.0,1.0,1.0,1.0,no,no,no,no,no,no,2835000.0
unfurnished,2650.0,3.0,1.0,2.0,1.0,no,yes,no,no,yes,no,2800000.0
furnished,3960.0,3.0,1.0,1.0,0.0,no,no,no,no,yes,no,2800000.0
unfurnished,6800.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,2730000.0
unfurnished,4000.0,3.0,1.0,2.0,1.0,no,no,no,no,yes,no,2730000.0
unfurnished,4000.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,2695000.0
unfurnished,3934.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,2660000.0
semi-furnished,2000.0,2.0,1.0,2.0,0.0,no,no,no,no,yes,no,2660000.0
unfurnished,3630.0,3.0,3.0,2.0,0.0,yes,no,no,no,no,no,2660000.0
unfurnished,2800.0,,1.0,1.0,0.0,no,no,no,no,yes,no,2660000.0
unfurnished,2430.0,3.0,1.0,1.0,0.0,no,no,no,no,no,no,2660000.0
semi-furnished,3480.0,2.0,1.0,1.0,1.0,no,no,no,no,yes,no,2660000.0
semi-furnished,4000.0,3.0,1.0,1.0,0.0,no,no,,no,yes,no,2660000.0
unfurnished,3185.0,,1.0,1.0,0.0,no,no,no,yes,yes,no,2653000.0
unfurnished,4000.0,3.0,1.0,2.0,0.0,no,no,no,yes,yes,no,2653000.0
unfurnished,2910.0,2.0,1.0,1.0,0.0,no,no,no,no,no,no,2604000.0
unfurnished,3600.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,2590000.0
unfurnished,4400.0,2.0,1.0,1.0,0.0,no,,no,no,yes,no,2590000.0
furnished,3600.0,2.0,2.0,2.0,1.0,no,yes,no,no,yes,no,2590000.0
unfurnished,2880.0,3.0,1.0,1.0,0.0,no,no,no,no,no,no,2520000.0
unfurnished,3180.0,3.0,1.0,1.0,0.0,no,no,no,no,no,no,2520000.0
furnished,3000.0,2.0,1.0,2.0,0.0,no,no,no,no,yes,no,2520000.0
unfurnished,4400.0,3.0,1.0,2.0,0.0,no,no,no,no,yes,no,2485000.0
semi-furnished,3000.0,3.0,1.0,2.0,0.0,no,no,no,no,no,no,2485000.0
unfurnished,3210.0,3.0,1.0,2.0,0.0,no,yes,no,no,yes,no,2450000.0
unfurnished,3240.0,2.0,1.0,1.0,1.0,yes,no,no,no,no,no,2450000.0
unfurnished,3000.0,2.0,1.0,1.0,1.0,no,no,no,no,yes,no,2450000.0
unfurnished,3500.0,2.0,1.0,1.0,0.0,yes,no,no,no,yes,no,2450000.0
unfurnished,4840.0,2.0,1.0,2.0,0.0,no,no,no,no,yes,no,2450000.0
unfurnished,7700.0,2.0,1.0,,0.0,no,no,no,no,yes,no,2450000.0
unfurnished,3635.0,2.0,1.0,1.0,0.0,no,no,no,no,no,no,2408000.0
furnished,2475.0,3.0,1.0,2.0,0.0,no,no,no,no,yes,no,2380000.0
furnished,2787.0,4.0,2.0,2.0,0.0,no,no,no,no,yes,no,2380000.0
unfurnished,3264.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,2380000.0
unfurnished,3640.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,2345000.0
unfurnished,3180.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,2310000.0
semi-furnished,1836.0,2.0,1.0,1.0,0.0,no,yes,no,no,no,no,2275000.0
unfurnished,3970.0,1.0,1.0,1.0,0.0,no,no,no,no,no,no,2275000.0
unfurnished,3970.0,3.0,1.0,2.0,0.0,no,yes,no,no,yes,no,2275000.0
unfurnished,,3.0,1.0,1.0,0.0,no,no,yes,no,no,no,2240000.0
unfurnished,5300.0,3.0,1.0,1.0,0.0,no,no,no,yes,no,yes,2233000.0
unfurnished,3000.0,2.0,1.0,1.0,0.0,no,no,no,no,no,no,2135000.0
unfurnished,2400.0,3.0,1.0,2.0,0.0,no,no,no,no,yes,no,2100000.0
unfurnished,3000.0,4.0,1.0,2.0,0.0,no,no,no,no,yes,no,2100000.0
unfurnished,3360.0,2.0,1.0,1.0,1.0,no,no,no,no,yes,no,2100000.0
unfurnished,3420.0,5.0,1.0,2.0,0.0,no,no,no,no,no,no,1960000.0
unfurnished,1700.0,3.0,1.0,2.0,0.0,no,no,no,no,yes,no,1890000.0
unfurnished,3649.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,1890000.0
unfurnished,2990.0,2.0,1.0,1.0,1.0,no,no,no,no,no,no,1855000.0
unfurnished,3000.0,2.0,1.0,1.0,2.0,no,yes,,no,yes,no,1820000.0
semi-furnished,2400.0,3.0,1.0,1.0,0.0,no,no,no,no,no,no,1767150.0
unfurnished,3620.0,2.0,1.0,1.0,0.0,no,no,no,no,,no,1750000.0
furnished,2910.0,3.0,1.0,1.0,0.0,no,no,no,no,no,no,1750000.0
unfurnished,3850.0,3.0,1.0,2.0,0.0,no,no,no,no,yes,no,1750000.0
